PO,"Item
 Description",Quantity, Unit Cost ,Vendor," Cost before
Tariff ","Country 
of Origin","Import 
Date","Tariff
Rate
Applied (%)"," Tariff 
Amt Paid "," Total 
Payment ", Refund Claimed ,Invoice ID,"Goods
Payment
Channel","Tariff
Payment
Channel",Notes
47844C80,Fluke 117 Electrician's Multimeter with Non-Contact Voltage Detection,250, $328.00 ,ASET PLC," $82,000.00 ",China,2025-12-17,41," $33,620.00 "," $115,620.00 "," $33,620.00 ",106792,ACH,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
42F5OA09,Lutron Vive Wireless Hub with Ethernet and Wi-Fi Connectivity,843, $391.00 ,DENIL," $329,613.00 ",Hungary,2025-12-17,10," $32,961.30 "," $362,574.30 "," $32,961.30 ",106793,Check,Single Entry Bond,Tier 1 (10%)    EU member; aligned with EU treatment.
451B12A3,Philips Advance Optanium High Efficiency T8 Electronic Ballast (10-Pack),924, $264.00 ,Data Pro Sys," $243,936.00 ",Japan,2025-12-17,10," $24,393.60 "," $268,329.60 "," $24,393.60 ",106794,Check,,"Tier 1 (10%)    Key ally; sectoral 232 possible, but low reciprocal tier."
42A5A708,"Hubbell Killark 3/4"" Dead-End Aluminum Conduit Body with Cover",1051, $838.00 ,Zim Sales," $880,738.00 ",Vietnam,2025-12-17,20," $176,147.60 "," $1,056,885.60 "," $176,147.60 ",106795,Wire Transfer,Monthly Statement,"Tier 2 (20%)    Fast‑growing exporter, some trade tensions; moderate tier."
42A5A708,SolaHD SDU Series DIN Rail Mount Uninterruptible Power Supply,519, $529.00 ,Intelligence Systems," $274,551.00 ",Vietnam,2025-12-17,20," $54,910.20 "," $329,461.20 "," $54,910.20 ",106796,Wire Transfer,Monthly Statement,"Tier 2 (20%)    Fast‑growing exporter, some trade tensions; moderate tier."
4C4EE000,Hoffman Rackmount Fan Tray 115V for 19-inch Server Racks,697, $188.00 ,Respira Networks," $128,036.00 ",UK,2025-12-18,41," $52,494.76 "," $144,139.60 "," $63,103.60 ",106797,ACH,ACH - CBP/ACE ,Tier 1 (10%)    EU ally; similar logic to Italy.
404A5AF3,Thomas & Betts Ty-Rap High-Performance Cable Ties (1000-count Bulk),494, $650.00 ,EYN," $321,100.00 ",China,2025-12-18,35," $112,385.00 "," $452,751.00 ","$112,385.00 ",106798,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
453F88A0,Emerson Rosemount 3051 Coplanar Pressure Transmitter,713, $167.00 ,Pilco Streambank," $119,071.00 ",Pakistan,2025-12-18,20," $23,814.20 "," $142,885.20 "," $23,814.20 ",106799,Wire Transfer,ACH - CBP/ACE ,Tier 2 (20%)    Security partner but trade frictions; moderate tier.
404A5AF3,ABB Tmax T3 3-Pole 125A Molded Case Circuit Breaker,433, $235.00 ,Ripple Com," $101,755.00 ",China,2025-12-18,41," $41,719.55 "," $143,474.55 "," $41,719.55 ",106800,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
405A1CO1,Acme Electric 3kVA Buck-Boost Transformer 120x240V to 12x24V,1150, $674.00 ,CTX," $775,100.00 ",France,2025-12-18,10," $77,510.00 "," $852,610.00 "," $77,510.00 ",106801,Check,ACH - CBP/ACE ,Tier 1 (10%)    EU/NATO ally; low reciprocal tier.
404A1CS4,Crouse-Hinds Champ Pro PVM LED Luminaire (Series 5),179, $398.00 ,xLAN Internet Exchange," $71,242.00 ",France,2025-12-18,10," $7,124.20 "," $78,366.20 "," $7,124.20 ",106802,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    EU/NATO ally; low reciprocal tier.
478H6HK2,Belden 1000-ft 18 AWG 2-Conductor Shielded Fire Alarm Cable,284, $300.00 ,LACNE," $85,200.00 ",Mexico,2025-12-18,10," $8,520.00 "," $93,720.00 "," $8,520.00 ",106803,Check,ACH - CBP/ACE ,"Tier 1 (10%)    USMCA partner; low reciprocal tier, sectoral/border issues separate."
478H6CL1,Legrand Wattstopper Digital Lighting Management (DLM) Controller,239, $186.00 ,ASET PLC," $44,454.00 ",Mexico,2025-12-18,10," $4,445.40 "," $48,899.40 "," $4,445.40 ",106804,ACH,ACH - CBP/ACE ,"Tier 1 (10%)    USMCA partner; low reciprocal tier, sectoral/border issues separate."
417A9DB1,Burndy Patriot 6-Ton Battery Actuated Crimp Tool,845, $284.00 ,ICANT," $239,980.00 ",Norway,2025-12-18,10," $23,998.00 "," $263,978.00 "," $23,998.00 ",106805,ACH,Single Entry Bond, Tier 1 (10%)    NATO ally; low reciprocal tier.
404A1CH4,Marathon Special Products 3-Pole Power Distribution Block,1343, $275.00 ,ICANT," $369,325.00 ",Egypt,2025-12-18,20," $73,865.00 "," $443,190.00 "," $73,865.00 ",106806,Check,Wire Transfer,Tier 2 (20%)    Strategic but not FTA; moderate tier.
3E0330F0,Weidmuller PROmax Power Supply 24V DC 20A DIN Rail,159, $268.00 ,Pilco Streambank," $42,612.00 ",Cambodia,2025-12-18,20," $8,522.40 "," $51,134.40 "," $8,522.40 ",106807,Wire Transfer,ACH - CBP/ACE ,Tier 2 (20%)    Sample table shows 19% reciprocal—closest to Tier 2. 
404A5AF3,Klein Tools VDV Commander Test & Tone Kit for Data/Video/Voice,103, $341.00 ,Parmis Technologies," $35,123.00 ",China,2025-12-18,41," $14,400.43 "," $49,523.43 "," $14,400.43 ",106808,Wire Transfer,Monthly Statement ,Tier 4 (41%)    Major target of Section 301 + reciprocal focus; likely highest tier post‑Nov 2025.
3E0330F0,Meltric Switch-Rated Decontactor 60A 480V Receptacle,979, $686.00 ,Respira Networks," $671,594.00 ",Cambodia,2025-12-18,20," $134,318.80 "," $805,912.80 "," $134,318.80 ",106809,ACH,ACH - CBP/ACE ,Tier 2 (20%)    Sample table shows 19% reciprocal—closest to Tier 2. 
414G6LP9,Tork EWZ120 7-Day 1-Channel Digital Timer with Battery Backup,1413, $358.00 ,Cyber Data Processing," $505,854.00 ",Israel,2025-12-19,10," $50,585.40 "," $556,439.40 "," $50,585.40 ",106810,Wire Transfer,ACH - CBP/ACE ,Tier 1 (10%)    FTA + close ally; low reciprocal tier.
416B2CD1,Littelfuse Class J Time-Delay High Speed Fuses (6-Pack),1458, $868.00 ,ByteSize," $1,265,544.00 ",Cambodia,2025-12-19,20," $253,108.80 "," $1,518,652.80 "," $253,108.80 ",106811,Corporate Card,ACH - CBP/ACE ,Tier 2 (20%)    Sample table shows 19% reciprocal—closest to Tier 2. 
478P1CL8,NVIDIA AMAX AceleMax® AXG-828IS2,"1,220","$11,703 ",Snee Key Compute," $14,277,660.00 ",China,2025-12-20,30," $4,283,298.00 "," $18,560,958.00 "," $4,283,298.00 ",107812,ACH,ACH - CBP/ACE ,Tier 3 (30%)    Sanctions/instability; likely elevated tier.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
